model,p,algo,time,epc
SW,0.1,GNN (1 shot),0.070253831003356,57.92715
SW,0.1,Greedy GNN,1.5476943350004149,58.01895
SW,0.2,Degree-based,0.00380364800003,171.0504
SW,0.2,Betweenness,0.0846511859999736,175.1922
SW,0.2,PageRank,0.0049355020018992,169.13205
SW,0.2,Greedy,2.7817145849985536,206.60805
SW,0.2,Greedy with MIS,1.4024895759994251,172.5246
SW,0.2,GNN (1 shot),0.0841461649979464,168.5907
SW,0.2,Greedy GNN,1.589095178998832,167.25015
SW,0.3,Degree-based,0.0042982759987353,458.22105
SW,0.3,Betweenness,0.0885191340021265,445.1193
SW,0.3,PageRank,0.0059908660005021,445.4271
SW,0.3,Greedy,0.5892263429996092,586.63575
SW,0.3,Greedy with MIS,0.4924820720007119,428.66145
SW,0.3,GNN (1 shot),0.0844473880024452,436.3416
SW,0.3,Greedy GNN,1.563536423000187,424.5021
SW,0.4,Degree-based,0.0082814460001827,1618.5771
SW,0.4,Betweenness,0.0853784009996161,1458.2673
SW,0.4,PageRank,0.0100023800005146,1534.8015
SW,0.4,Greedy,2.0465814160015725,1163.187
SW,0.4,Greedy with MIS,0.792941753001287,1284.14835
SW,0.4,GNN (1 shot),0.2003091409969783,1434.53565
SW,0.4,Greedy GNN,1.573179640003218,1371.6108
SW,0.5,Degree-based,0.0316668529994785,8197.0812
SW,0.5,Betweenness,0.1241993799994816,7314.33375
SW,0.5,PageRank,0.0310089589984272,7634.08665
SW,0.5,Greedy,7.960381491000589,7841.87055
SW,0.5,Greedy with MIS,1.5933015339996928,5513.5134
SW,0.5,GNN (1 shot),0.1242704520009283,7074.4698
SW,0.5,Greedy GNN,1.6039210010021634,6923.3292
SW,0.6,Degree-based,0.0999446370005898,21360.2886
SW,0.6,Betweenness,0.1535111649973259,21352.2426
SW,0.6,PageRank,0.0911994719972426,20494.8414
SW,0.6,Greedy,10.308308333998866,23300.244
SW,0.6,Greedy with MIS,3.723400488999687,19290.8115
SW,0.6,GNN (1 shot),0.1374338440000428,19824.65415
SW,0.6,Greedy GNN,1.6222357580008977,20307.81645
SW,0.7,Degree-based,0.0999233510010526,29794.12065
SW,0.7,Betweenness,0.1750597810023464,30285.1332
SW,0.7,PageRank,0.0912849209998967,28648.29465
SW,0.7,Greedy,9.454838898000162,31177.10925
SW,0.7,Greedy with MIS,1.4887353960002656,28304.5887
SW,0.7,GNN (1 shot),0.1599615439990884,28322.6382
SW,0.7,Greedy GNN,1.6422293420000642,29372.76945
SW,0.8,Degree-based,0.098448761000327,33871.878
SW,0.8,Betweenness,0.1937510420029866,34223.41665
SW,0.8,PageRank,0.1226170970003295,32475.1815
SW,0.8,Greedy,9.927319203001389,33504.0327
SW,0.8,Greedy with MIS,2.4566769339999155,32760.36495
SW,0.8,GNN (1 shot),0.1676074949973554,32642.5788
SW,0.8,Greedy GNN,1.65031414799887,33673.00005
SW,0.9,Degree-based,0.0915919020008004,35647.8759
SW,0.9,Betweenness,0.1649781599990092,35833.1877
SW,0.9,PageRank,0.0901586370018776,34140.7197
SW,0.9,Greedy,11.247617861998153,34774.96185
SW,0.9,Greedy with MIS,3.5697146330003307,34988.7357
SW,0.9,GNN (1 shot),0.1652371089985536,34840.49895
SW,0.9,Greedy GNN,1.6558350710001832,35584.84845
SW,1.0,Degree-based,0.0799035809977795,36315.0
SW,1.0,Betweenness,0.154284706000908,36315.0
SW,1.0,PageRank,0.0922303560000727,34732.5462
SW,1.0,Greedy,89.61626460299885,36044.6868
SW,1.0,Greedy with MIS,4.101758819999304,35763.849
SW,1.0,GNN (1 shot),0.1432997039992187,35778.62745
SW,1.0,Greedy GNN,1.6336989349983924,36315.0
